1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,0.0,4.0,No,1219,Rec,816,484,Unf,1975.0,2515,TA,32668,70.0,0.0,0,3,6,2035,1957,1975,200624
958,620.0,3.0,No,403,BLQ,238,240,Unf,1941.0,1578,Fa,9490,79.0,0.0,0,7,6,806,1941,1950,133000
979,224.0,3.0,No,185,LwQ,524,352,Unf,1950.0,1203,Gd,7015,70.0,161.0,0,4,5,709,1950,1950,110000
1156,866.0,4.0,No,392,BLQ,768,505,Fin,1977.0,2022,TA,10005,83.0,299.0,117,5,7,1160,1977,1977,192000
525,0.0,3.0,No,0,Unf,525,264,Unf,1971.0,1092,TA,1680,21.0,381.0,0,5,6,525,1971,1971,88000
1022,0.0,2.0,No,247,GLQ,310,280,Unf,1956.0,1022,TA,7200,60.0,0.0,30,4,5,1022,1910,2006,85000
1464,0.0,3.0,Gd,929,GLQ,556,754,Unf,2007.0,1464,Gd,15256,49.0,84.0,160,5,8,1485,2007,2007,282922
780,595.0,3.0,No,0,GLQ,780,544,Unf,1979.0,1375,Gd,9000,50.0,0.0,162,6,6,780,1937,1950,141000
2411,2065.0,4.0,Av,2096,GLQ,300,813,Fin,1996.0,4476,Ex,15623,160.0,0.0,78,5,10,2396,1996,1996,745000
551,551.0,2.0,No,239,GLQ,312,480,Unf,2004.0,1102,Gd,5105,70.0,0.0,60,5,7,551,2004,2004,148800
1352,0.0,2.0,No,0,Unf,1352,466,Unf,2006.0,1352,Gd,4230,47.0,0.0,241,5,7,1352,2006,2007,208900
1680,0.0,4.0,No,0,Unf,1680,528,Unf,1976.0,1680,TA,11500,70.0,164.0,0,6,5,1680,1976,1976,136905
1005,978.0,3.0,No,694,GLQ,284,490,Fin,1999.0,1983,Gd,10762,70.0,344.0,0,5,7,978,1999,1999,225000
900,0.0,3.0,Av,769,ALQ,95,288,RFn,1967.0,900,TA,7838,68.0,0.0,144,5,5,864,1967,1967,123000
1082,0.0,2.0,No,336,BLQ,746,240,Unf,1948.0,1082,TA,11664,60.0,206.0,130,5,6,1082,1948,1950,119200
