1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856,854.0,3.0,No,706,GLQ,150,0.0,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
1262,0.0,3.0,Gd,978,ALQ,284,,460,RFn,1976.0,1262,TA,9600,80.0,0.0,0,8,6,1262,,1976,1976,181500
920,866.0,3.0,Mn,486,GLQ,434,0.0,608,RFn,2001.0,1786,Gd,11250,68.0,162.0,42,5,7,920,,2001,2002,223500
961,,,No,216,ALQ,540,,642,Unf,1998.0,1717,Gd,9550,60.0,0.0,35,5,7,756,,1915,1970,140000
1145,,4.0,Av,655,GLQ,490,0.0,836,RFn,2000.0,2198,Gd,14260,84.0,350.0,84,5,8,1145,,2000,2000,250000
796,566.0,1.0,No,732,GLQ,64,,480,Unf,1993.0,1362,TA,14115,85.0,0.0,30,5,5,796,,1993,1995,143000
1694,0.0,3.0,Av,1369,GLQ,317,,636,RFn,2004.0,1694,Gd,10084,75.0,186.0,57,5,8,1686,,2004,2005,307000
1107,983.0,3.0,Mn,859,ALQ,216,,484,,1973.0,2090,TA,10382,,240.0,204,6,7,1107,,1973,1973,200000
1022,752.0,2.0,No,0,Unf,952,,468,Unf,1931.0,1774,TA,6120,51.0,0.0,0,5,7,952,,1931,1950,129900
1077,0.0,2.0,No,851,GLQ,140,,205,RFn,1939.0,1077,TA,7420,50.0,0.0,4,6,5,991,,1939,1950,118000
1040,0.0,3.0,No,906,Rec,134,,384,Unf,1965.0,1040,TA,11200,70.0,0.0,0,5,5,1040,,1965,1965,129500
1182,1142.0,4.0,No,998,,177,,736,Fin,2005.0,2324,Ex,11924,85.0,286.0,21,5,9,1175,,2005,2006,345000
912,0.0,2.0,No,737,ALQ,175,,352,,1962.0,912,TA,12968,,0.0,0,6,5,912,,1962,1962,144000
1494,0.0,3.0,Av,0,Unf,1494,,840,RFn,2006.0,1494,Gd,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500
1253,0.0,,No,733,BLQ,520,,352,RFn,1960.0,1253,TA,10920,,212.0,213,5,6,1253,,1960,1960,157000
854,0.0,2.0,No,0,Unf,832,,576,Unf,1991.0,854,TA,6120,51.0,0.0,112,8,7,832,,1929,2001,132000
1004,0.0,2.0,No,578,ALQ,426,,480,Fin,1970.0,1004,TA,11241,,180.0,0,7,6,1004,,1970,1970,149000
1296,0.0,2.0,None,0,None,0,,516,Unf,1967.0,1296,TA,10791,72.0,0.0,0,5,4,0,,1967,1967,90000
1114,,,No,646,GLQ,468,,576,Unf,2004.0,1114,Gd,13695,66.0,0.0,102,5,5,1114,,2004,2004,159000
1339,0.0,3.0,No,504,LwQ,525,,294,Unf,1958.0,1339,TA,7560,70.0,0.0,0,6,5,1029,,1958,1965,139000
1158,1218.0,4.0,Av,0,Unf,1158,,853,RFn,2005.0,2376,Gd,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300
