OverallQual,TotalBsmtSF,2ndFlrSF,GarageArea
9,1822,0.0,774
5,894,0.0,308
5,876,0.0,432
8,1568,0.0,857
7,1541,0.0,843
7,1221,0.0,400
6,1088,0.0,440
7,696,720.0,484
4,462,462.0,297
6,735,349.0,440
7,746,896.0,397
6,1362,0.0,460
6,756,788.0,442
6,1367,0.0,451
5,924,,528
5,1360,0.0,588
7,728,728.0,400
7,1188,0.0,497
5,0,0.0,625
6,612,612.0,528
7,952,752.0,468
5,861,406.0,384
5,803,557.0,297
6,848,0.0,420
8,1482,780.0,749
4,836,0.0,396
7,1375,0.0,398
6,735,924.0,396
6,901,110.0,0
8,1501,0.0,499
6,1012,0.0,308
7,824,998.0,672
5,360,,672
7,1057,872.0,650
5,911,0.0,576
9,1838,0.0,765
6,1296,0.0,924
5,1148,0.0,672
5,950,0.0,280
8,777,846.0,471
6,1065,720.0,440
7,1316,0.0,440
6,1442,0.0,615
5,1078,0.0,500
4,1040,0.0,544
8,408,640.0,527
7,651,682.0,240
5,1056,0.0,280
9,1792,0.0,874
6,1216,,402
7,596,764.0,576
7,847,1112.0,434
6,1208,,546
5,874,650.0,315
4,796,358.0,240
5,0,0.0,420
5,190,0.0,273
5,943,0.0,600
7,866,902.0,603
9,1393,1177.0,779
5,912,0.0,275
5,0,0.0,308
6,1405,0.0,511
10,2076,0.0,850
8,1318,1203.0,752
5,731,787.0,240
8,1573,0.0,538
6,1444,700.0,389
10,1237,,880
6,585,728.0,477
7,1525,0.0,541
8,1571,0.0,722
5,796,0.0,0
5,994,994.0,432
7,384,670.0,402
4,648,0.0,364
5,732,1104.0,372
6,1040,0.0,484
9,2153,574.0,694
5,676,455.0,200
5,960,1000.0,400
5,1144,0.0,336
6,1056,0.0,576
4,693,0.0,0
6,1479,0.0,576
8,1594,0.0,482
5,864,0.0,352
8,1566,0.0,750
6,723,660.0,497
4,780,0.0,539
5,939,574.0,180
6,884,408.0,560
5,955,0.0,386
3,1007,0.0,210
5,1056,0.0,572
7,756,797.0,615
7,1614,0.0,865
8,2042,0.0,1390
5,1073,0.0,326
5,672,213.0,240
6,1205,0.0,550
4,528,0.0,0
5,1150,0.0,300
6,728,728.0,400
7,944,0.0,588
6,750,750.0,564
5,1165,0.0,375
6,839,729.0,398
9,1104,1054.0,836
7,1560,0.0,573
5,728,,312
4,630,0.0,286
6,1143,0.0,504
7,1063,1101.0,947
4,560,550.0,384
8,1184,1426.0,550
7,1026,932.0,936
8,1468,0.0,898
5,0,432.0,539
5,768,432.0,240
7,1092,438.0,438
4,795,795.0,440
6,1064,0.0,240
5,864,0.0,624
7,1208,0.0,440
6,483,504.0,264
7,1210,1281.0,628
5,765,600.0,440
8,1128,1141.0,779
9,1249,1347.0,840
4,907,0.0,352
6,855,,440
5,1106,0.0,540
4,858,0.0,684
7,2223,0.0,516
4,1005,0.0,672
7,712,809.0,409
5,1040,0.0,384
5,1268,0.0,461
7,874,887.0,578
6,1012,0.0,888
7,1385,0.0,439
6,1436,0.0,480
8,2109,0.0,839
7,1573,0.0,544
9,2330,0.0,820
7,1057,977.0,645
6,1291,0.0,431
5,858,0.0,0
6,560,560.0,280
2,290,0.0,246
6,672,728.0,440
5,920,0.0,240
6,1127,0.0,645
6,547,0.0,525
5,0,0.0,0
6,844,689.0,441
8,965,1254.0,380
6,912,912.0,0
6,872,868.0,422
5,912,0.0,576
6,1461,0.0,600
6,976,448.0,216
6,1316,0.0,397
5,768,0.0,450
5,756,378.0,240
8,1623,0.0,865
